City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
247,Tashtagol,RU,52.7657,87.8894,2.32,97,50,2.8,scattered clouds
248,Kathmandu,NP,27.7167,85.3167,44.82,93,20,2.3,few clouds
249,Mackay,AU,-21.15,149.2,73.69,66,86,18.95,overcast clouds
250,Quchan,IR,37.106,58.5095,24.21,86,100,2.73,overcast clouds
251,Rehoboth,NA,-23.3167,17.0833,73.9,55,90,4.9,overcast clouds
252,Keti Bandar,PK,24.1447,67.4497,70.38,66,0,11.27,clear sky
253,Oistins,BB,13.0667,-59.5333,79.47,73,23,15.1,few clouds
254,Nome,US,64.5011,-165.4064,-11.29,88,0,9.15,clear sky
255,Sirajganj,BD,24.45,89.7167,62.26,70,5,3.94,clear sky
256,Georgetown,MY,5.4112,100.3354,78.73,91,40,0.0,scattered clouds
257,Pitimbu,BR,-7.4706,-34.8086,86.59,61,17,10.89,few clouds
258,Salalah,OM,17.0151,54.0924,75.58,45,91,8.97,overcast clouds
259,Beringovskiy,RU,63.05,179.3167,-18.35,98,46,7.49,scattered clouds
260,Yar-Sale,RU,66.8333,70.8333,-12.24,100,88,7.63,overcast clouds
261,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,86,63,12.8,broken clouds
262,Oksfjord,NO,70.2396,22.3479,32.18,86,66,12.62,broken clouds
263,Svetlogorsk,BY,52.6333,29.7333,32.11,91,100,13.22,overcast clouds
264,Columbus,US,39.9612,-82.9988,36.19,63,6,1.01,clear sky
265,Qaanaaq,GL,77.484,-69.3632,-12.6,58,32,8.34,scattered clouds
266,Yulara,AU,-25.2406,130.9889,69.64,43,0,6.91,clear sky
267,Sakakah,SA,29.9697,40.2064,51.37,51,1,8.41,clear sky
268,Tombouctou,ML,20.0,-3.0,70.05,9,0,7.4,clear sky
269,Cabo San Lucas,MX,22.8909,-109.9124,76.17,66,0,5.01,clear sky
270,Am Timan,TD,11.0297,20.2827,78.73,15,5,6.24,clear sky
271,Kharhial,IN,20.2833,82.7667,61.86,26,3,1.16,clear sky
272,Chokurdakh,RU,70.6333,147.9167,-39.37,100,87,2.51,overcast clouds
273,Amuntai,ID,-2.4177,115.2494,72.59,99,99,1.39,overcast clouds
274,Port Lincoln,AU,-34.7333,135.8667,70.99,69,0,12.59,clear sky
275,Skelleftea,SE,64.7507,20.9528,30.56,69,100,3.44,overcast clouds
276,Miri,MY,4.4148,114.0089,75.34,100,40,0.0,scattered clouds
277,Sikasso,ML,10.9167,-7.0,83.84,10,0,3.74,clear sky
278,Bathsheba,BB,13.2167,-59.5167,84.81,61,40,20.71,scattered clouds
279,Hukuntsi,BW,-24.0,21.75,76.96,46,69,12.64,broken clouds
280,Verkhoyansk,RU,67.5447,133.385,-33.54,97,100,0.38,overcast clouds
281,Varnavino,RU,57.4035,45.0916,-2.31,100,97,3.02,overcast clouds
282,Borovoy,RU,55.4333,86.0833,20.48,53,0,2.24,clear sky
283,Devils Lake,US,48.1128,-98.8651,1.94,75,8,7.0,clear sky
284,Rutana,BI,-3.8667,30.1,57.88,88,100,2.57,light rain
285,Kenai,US,60.5544,-151.2583,19.15,92,100,2.08,overcast clouds
286,Khromtau,KZ,50.2503,58.4347,16.79,94,100,13.58,overcast clouds
287,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,100,75,16.06,mist
288,Yurimaguas,PE,-5.9,-76.0833,86.56,60,100,3.74,overcast clouds
289,Mount Gambier,AU,-37.8333,140.7667,60.71,67,0,6.91,clear sky
290,Umm Kaddadah,SD,13.6017,26.6876,60.57,18,100,14.72,overcast clouds
291,Kloulklubed,PW,7.0419,134.2556,80.82,82,100,23.09,overcast clouds
292,Akyab,MM,20.15,92.9,62.44,60,88,11.9,overcast clouds
293,Ahipara,NZ,-35.1667,173.1667,72.84,98,100,6.71,overcast clouds
294,Broome,US,42.2506,-75.833,29.68,63,0,4.0,clear sky
295,Novikovo,RU,51.1537,37.8879,29.71,93,100,10.38,overcast clouds
296,Galveston,US,29.3669,-94.9669,59.22,69,17,7.54,few clouds
297,Saint George,US,37.1041,-113.5841,59.47,23,0,1.01,clear sky
298,Progreso,MX,21.2833,-89.6667,75.33,74,74,11.23,broken clouds
299,Benguela,AO,-12.5763,13.4055,76.89,68,100,4.52,overcast clouds
300,Avanigadda,IN,16.0215,80.9181,70.07,82,99,4.76,overcast clouds
301,Sagua La Grande,CU,22.8067,-80.0756,79.7,62,72,11.12,broken clouds
302,Shillong,IN,25.5689,91.8831,36.63,93,7,0.45,clear sky
303,Uruguaiana,BR,-29.7547,-57.0883,84.58,20,0,15.57,clear sky
304,Portobelo,PA,9.55,-79.65,90.07,64,14,10.69,few clouds
305,Grindavik,IS,63.8424,-22.4338,27.07,74,100,9.22,overcast clouds
306,Aklavik,CA,68.2191,-135.0107,-18.4,76,75,17.27,broken clouds
307,Saint-Pierre,RE,-21.3393,55.4781,78.48,78,0,4.61,clear sky
308,Turayf,SA,31.6725,38.6637,46.42,68,3,8.37,clear sky
309,Caucaia,BR,-3.7361,-38.6531,83.03,70,67,9.42,broken clouds
310,Uvinza,TZ,-5.1036,30.3911,66.83,93,100,1.77,light rain
311,Port-De-Bouc,FR,43.4,4.9833,52.7,61,0,13.8,clear sky
312,Coahuayana,MX,18.7333,-103.6833,85.48,30,5,7.61,clear sky
313,Borogontsy,RU,62.6683,131.1683,-33.21,98,100,4.0,overcast clouds
314,Talakan,RU,50.3167,130.3667,-15.95,100,100,0.29,overcast clouds
315,Ancud,CL,-41.8697,-73.8203,75.22,66,10,6.38,clear sky
316,Macia,MZ,-25.0269,33.0989,74.44,82,19,10.76,few clouds
317,Katherine,AU,-14.4667,132.2667,75.52,94,98,0.0,overcast clouds
318,Wadi Maliz,TN,36.4681,8.5495,55.06,90,81,4.88,broken clouds
319,Tazmalt,DZ,36.3868,4.3989,51.04,88,13,5.46,few clouds
320,Kodinsk,RU,58.6881,99.1844,8.15,99,100,1.48,overcast clouds
321,Chandbali,IN,20.7833,86.7667,64.18,66,98,1.81,overcast clouds
322,Krasnyy Oktyabr,RU,56.1167,38.8833,13.24,98,93,3.94,snow
323,Vila Velha,BR,-20.3297,-40.2925,85.95,80,20,7.0,few clouds
324,Vao,NC,-22.6667,167.4833,79.95,84,84,1.05,broken clouds
