City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
486,Flinders,AU,66.79,moderate rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
487,Beira,MZ,78.89,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
492,Aswan,EG,60.76,clear sky,24.0934,32.907,Nuba Nile
500,Jijiga,ET,61.66,clear sky,9.35,42.8,RAMAAS HOTEL
509,Lompoc,US,74.08,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
510,Cannington,AU,66.45,few clouds,-32.0167,115.95,Bentley Motel
515,Bokaa,BW,76.55,overcast clouds,-24.45,26.0167,Pa Vula Hotels
517,Auki,SB,78.87,overcast clouds,-8.7676,160.7034,Auki Motel
518,Hasilpur,PK,58.17,clear sky,29.7122,72.5553,"Masjid Noor, Tahir Colony, Purana Hasilpur"
520,Alice Springs,AU,60.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
521,Jambi,ID,71.73,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
523,Esna,EG,59.81,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
524,Srandakan,ID,76.14,overcast clouds,-7.9386,110.2506,Puri Brata
531,Manono,CD,68.86,light rain,-7.3,27.4167,Hotel hewa bora
533,Victor Harbor,AU,77.72,clear sky,-35.5667,138.6167,McCracken Country Club
534,Half Moon Bay,US,65.77,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
536,Francisco Sa,BR,71.15,moderate rain,-16.4758,-43.4883,Amaralina Hotel
540,Sawakin,SD,70.95,clear sky,19.1059,37.3321,فندق الدويم
543,Otane,NZ,58.01,light rain,-39.8833,176.6333,Ludlow Farmstay
544,Hobyo,SO,76.73,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
545,Kimbe,PG,76.57,scattered clouds,-5.5502,150.1429,Kimbe Bay Hotel
546,Makakilo City,US,74.68,drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
548,Bumba,CD,75.6,few clouds,2.1833,22.4667,Père Carlos
552,Koumac,NC,78.66,overcast clouds,-20.5667,164.2833,Le Monitel
553,Vila Do Maio,CV,74.19,clear sky,15.1333,-23.2167,Hotel Marilu
556,Saint-Leu,RE,77.86,overcast clouds,-21.15,55.2833,La Caz Oceane
557,Tak,TH,63.61,broken clouds,16.5833,98.8333,ไร่เคียงตะวัน ณ ม่อนหมอกตะวัน
558,Geraldton,AU,70.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
559,Maralal,KE,65.59,overcast clouds,1.0968,36.698,Ngari Hill Ecolodge
560,Los Llanos De Aridane,ES,64.15,scattered clouds,28.6585,-17.9182,Valle Aridane
561,Abu Dhabi,AE,66.31,few clouds,24.4667,54.3667,Ramee Garden Hotel Apartments
562,Pittsburg,US,62.55,clear sky,38.028,-121.8847,Hampton Inn & Suites Pittsburg
563,Payakumbuh,ID,67.68,overcast clouds,-0.2202,100.6308,Dalimo Homestay
564,Nan,TH,62.55,overcast clouds,18.8333,100.6667,สะเนียน2
566,Bilma,NE,65.66,clear sky,18.6853,12.9164,Expeditions Ténére voyages
568,Arona,ES,64.71,clear sky,28.0996,-16.681,Paradise Court
577,Martapura,ID,75.29,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
578,Tecpan,GT,70.45,broken clouds,14.7623,-90.9947,Villa San Ricardo
581,Camana,PE,75.09,broken clouds,-16.6228,-72.7111,Hostal Morales
584,Tabuk,PH,68.85,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
586,Young,UY,73.22,clear sky,-32.6833,-57.6333,Posada Gira el Sol
588,Marawi,PH,64.65,scattered clouds,7.9986,124.2928,Derogongan Residence
590,Palauig,PH,76.91,broken clouds,15.435,119.9045,Alperi Botique Resort
597,Mangrol,IN,67.12,clear sky,21.1167,70.1167,Hotel The Royal Honours
598,Pandan,PH,76.6,overcast clouds,14.0453,124.1694,Bonifacio Lodge
600,Arang,IN,62.42,clear sky,21.2,81.9667,Hotel Kunwar Shree
601,Esperance,AU,62.44,overcast clouds,-33.8667,121.9,Hospitality Esperance
602,Asfi,MA,60.31,few clouds,32.2994,-9.2372,Hôtel Abda
612,Road Town,VG,75.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
615,The Valley,AI,77.14,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
